Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
EDU_EXP:Expenditure on education;GDP:as % of GDP;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.03556;0.05809;0.03242;0.00270;0.00550;0.00686;0.01054;0.01337
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;401.604;520.875;480.692;497.243;550.654;545.780;575.687;654.002
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:_T:CUR:GOV:_T:_Z:_Z:IR;2.586.525;2.852.775;2.647.329;2.637.784;2.738.686;;;3.110.368
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L3:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.138.151;;1.539.632;1.539.630
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L1:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;1.098.153;1.188.577;983.132;750.080;746.500;;;
XUNIT:Government expenditure per student;USD:US dollar;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L4:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;;;45.243.246;;;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.122.582;;1.539.632;1.539.630
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;188.820.870;226.305.323;206.713.323;223.941.106;196.405.151;224.503.155;207.914.094;228.458.575
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;430.972.217;334.319.215;340.340.944;338.815.734;278.984.724;292.780.822;315.646.816;365.366.040
EDU_EXP:Expenditure on education;USD:US dollar;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;755.351.563;666.734.452;765.960.226;832.355.941;519.404.583;460.478.785;474.437.282;524.677.209
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;264.054.988;225.207.180;211.189.753;329.047.315;254.963.687;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.439.612;9.127.737;9.423.475;9.582.341;9.910.570
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;_T:Total;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:_T:_T:_T:_T:GOV:_T:_Z:_Z:IR;4.941.411.860;4.911.907.164;4.584.133.066;4.108.111.776;3.743.835.114;3.910.649.958;4.643.073.483;5.929.332.198
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;689.621;;;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;2.401.032;;2.463.809;2.449.259
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;31.809.002;53.583.854;35.076.370;2.389.037;4.209.241;4.436.371;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;104.120;0.76308;0.75687;0.80846;0.66712;0.67187;0.73437;0.74919
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CAP:Capital;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CAP:GOV:FFNTP:_Z:_Z:IR;;;;453.479;628.469;399.371;544.978;1.251.043
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;6.624.606;;6.797.814;6.757.656
EDU_EXP:Expenditure on education;GNI:as % of GNI;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L2_3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;162.294;126.217;114.750;130.469;101.451;;;124.840
EDU_EXP:Expenditure on education;GDP:as % of GDP;_T:Total;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:_T:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;370.918;348.497;316.859;306.795;280.135;279.739;336.576;372.141
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;7.948.656;;8.690.718;8.690.720
EDU_EXP:Expenditure on education;GDP:as % of GDP;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.91545;0.94839;0.80502;0.80425;0.75323;0.74786;0.97111;114.184
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2_3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;162.247;126.237;114.759;131.386;102.144;;;125.228
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;1.198.268;1.245.402;1.057.483;782.534;783.843;764.531;;
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;14.723.178;25.446.062;14.575.600;1.121.808;2.284.279;2.981.335;4.520.902;6.501.273
XUNIT:Government expenditure per student;USD:US dollar;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;67.332.097;81.348.765;81.736.491;61.295.129;47.314.292;42.362.537;;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.95870;166.687;102.306;0.08786;0.19632;0.24530;0.31329;0.35280
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.525.956;9.350.114;9.580.325;9.589.135;9.574.380
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;379.034.191;415.439.652;361.964.217;334.698.865;312.855.813;324.928.070;416.349.062;555.127.938
EDU_EXP:Expenditure on education;GDP:as % of GDP;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.79217;0.94906;0.87557;0.70385;0.78443;0.82222;100.388;123.686
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.274.157.619;1.000.477.538;1.039.526.244;1.053.930.490;881.833.665;942.049.955;1.026.637.203;1.203.509.289
EDU_EXP:Expenditure on education;GDP:as % of GDP;L02:Pre-primary education;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L02:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;0.03556;0.05809;0.03242;0.00270;0.00550;0.00686;0.01054;0.01337
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;255.797.416;302.172.873;273.001.950;208.601.684;219.803.262;;321.930.103;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L5T8:Tertiary education;_T:Total;_T:Total;CUR_TRF:Current and transfer expenditure;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L5T8:_T:_T:CUR_TRF:GOV:_T:_Z:_Z:IR;7.998.619;8.449.732;8.878.340;9.546.521;9.371.531;;;9.035.168
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;969.691.937;1.244.108.569;1.202.468.209;911.151.505;1.029.863.128;1.149.433.320;1.399.875.389;1.980.764.603
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L3:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.861.849;;8.460.368;8.460.370
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.233.072.789;1.794.433.227;1.802.796.005;1.799.281.690;1.458.908.482;1.481.633.994;1.714.506.177;2.005.454.915
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.754.709;9.518.025;9.748.676;9.766.883;9.709.192
EDU_EXP:Expenditure on education;GNI:as % of GNI;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.14178;0.16054;0.14287;0.16607;0.14596;0.16012;0.15034;0.14559
EDU_EXP:Expenditure on education;GNI:as % of GNI;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;182.480;136.865;131.260;138.022;110.369;105.670;122.641;124.840
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2_3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;294.194.171;245.855.253;233.238.171;299.786.581;235.582.984;;;
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;255.797.416;302.172.873;273.001.950;208.601.684;219.803.262;;321.930.103;
EDU_EXP:Expenditure on education;USD:US dollar;_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.33735;;0.19856;0.20537
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;570.859.327;400.515.029;463.440.623;489.171.222;558.277.747
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;102.804.956;82.855.707;82.917.378;98.564.740;79.653.169;80.609.288;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L4:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;2.522.616;;2.522.616;2.522.619
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;94.042.448;160.354.058;107.136.119;7.431.410;13.304.853;14.274.444;;
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;301.179;210.374;220.053;203.349;188.706
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;173.497.239;210.479.336;196.226.844;216.496.515;192.942.462;224.503.155;210.168.783;233.882.336
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.452.775;9.191.990;9.493.842;9.594.181;9.900.084
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2_3:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.151.524;;8.117.030;8.375.837
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.539.835;1.718.857;1.500.662;1.231.984;1.296.429;;1.832.144;
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y1:In the first year of teaching;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L1:_T:_T:_T:GOV:FFNTP:Y1:PERM:IR;;;;;;10.089.461;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;344.542.632;272.396.519;284.513.292;292.813.746;243.147.299;259.189.231;;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L02:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;566.112;912.146;588.915;0.43889;0.78474;0.80065;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.840.356;;8.439.646;8.439.648
EDU_EXP:Expenditure on education;USD:US dollar;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;255.303.116;140.078.502;144.033.260;136.831.136;149.526.984
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.830.180;1.410.205;1.392.036;1.798.107;1.474.920;1.450.455;;
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);YTOP:At the top of the salary scale;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L2:_T:_T:_T:GOV:FFNTP:YTOP:PERM:IR;;;;;;24.182.027;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:_T:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;7.230.672;;7.829.160;7.952.687
EDU_EXP:Expenditure on education;GDP:as % of GDP;L4:Post-secondary non-tertiary education;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L4:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;0.14173;0.16056;0.14288;0.16724;0.14696;0.16059;0.15072;0.14605
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;6.367.635;;6.475.249;6.852.021
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;8.212.846;;8.112.109;8.342.077
EDU_EXP:Expenditure on education;GDP:as % of GDP;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;104.090;0.76321;0.75693;0.81414;0.67168;0.67387;0.73623;0.75152
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L1:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.198.268;1.245.402;1.057.483;782.534;783.843;764.531;;
